Start station number,Start station,End station number,End station,Bike model,Date,total_duration_min,weather_code,Weather Description,real_temperature_C,feels_like_temperature_C,wind_speed_10m,humidity_percentage,Day_of_Month,Day_of_Week,Hour_of_Day,is_Weekend,Time_of_Day,Day_of_Week_Name,is_Weekend_Name
1211,"Bunhill Row, Moorgate",2635,"Concert Hall Approach 1, South Bank",CLASSIC,2023-08-10 18:00:00,2.5649493574615367,13.627795,,0.8686869,0.8712801,0.3211199,0.35201764,10,4,18,0,Evening,Thursday,Weekday
300242,"Allington Street, Victoria",1213,"Curlew Street, Shad Thames",PBSC_EBIKE,2023-08-06 13:00:00,4.143134726391533,18.998316,,0.5286195,0.4710311,0.78581005,0.3687427,6,7,13,1,Afternoon,Sunday,Weekend
300005,"Ethelburga Estate, Battersea Park",1165,"Riverlight North, Nine Elms",CLASSIC,2023-08-31 21:00:00,2.302585092994046,6.489992,,0.3299663,0.43687728,0.01748544,0.8577534,31,4,21,0,Night,Thursday,Weekday
1062,"Braham Street, Aldgate",3467,"Dock Street, Wapping",CLASSIC,2023-08-01 09:00:00,1.791759469228055,24.187069,,0.55555546,0.4290072,0.68483824,0.32601416,1,2,9,0,Morning,Tuesday,Weekday
990,"Cotton Garden Estate, Kennington",200193,"Snowsfields, London Bridge",CLASSIC,2023-08-10 08:00:00,2.302585092994046,6.4096174,,0.64309764,0.7219809,0.09793699,0.5295943,10,4,8,0,Morning,Thursday,Weekday
200183,"Battersea Park Road, Nine Elms",2587,"Wormwood Street, Liverpool Street",PBSC_EBIKE,2023-08-24 10:00:00,3.1354942159291497,8.707237,,0.6397306,0.7087226,0.5340962,0.5675255,24,4,10,0,Morning,Thursday,Weekday
300005,"Ethelburga Estate, Battersea Park",200010,"Manresa Road, Chelsea",CLASSIC,2023-08-31 10:00:00,1.791759469228055,5.3999996,,0.3198653,0.38774857,0.26704812,0.60697293,31,4,10,0,Morning,Thursday,Weekday
200231,"Abingdon Green, Westminster",1093,"Kennington Cross, Kennington",CLASSIC,2023-08-01 18:00:00,2.0794415416798357,14.982228,,0.64983165,0.6266166,0.50984055,0.4022187,1,2,18,0,Evening,Tuesday,Weekday
1145,"Earnshaw Street , Covent Garden",200096,"Green Park Station, Mayfair",CLASSIC,2023-08-07 15:00:00,2.0794415416798357,17.462784,,0.68686867,0.5682255,0.6291514,0.10024506,7,1,15,0,Afternoon,Monday,Weekday
200171,"Peterborough Road, Sands End",200062,"William Morris Way, Sands End",CLASSIC,2023-08-30 13:00:00,3.4339872044851463,17.902534,,0.6060605,0.52056265,0.7330858,0.1240983,30,3,13,0,Afternoon,Wednesday,Weekday
300213,"Monier Road, Hackney Wick",300234,"Stratford Station, Stratford",CLASSIC,2023-08-19 13:00:00,2.0794415416798357,25.212852,,0.8922558,0.79399157,0.45879346,0.22783732,19,6,13,1,Afternoon,Saturday,Weekend
200202,"Storey's Gate, Westminster",1112,"Nutford Place, Marylebone",CLASSIC,2023-08-19 16:00:00,3.295836866004329,25.199997,,0.7912457,0.69029176,0.43045402,0.3619187,19,6,16,1,Afternoon,Saturday,Weekend
1091,"St. John's Wood Church, The Regent's Park",3451,"Golden Square, Soho",CLASSIC,2023-08-07 11:00:00,2.9444389791664403,18.25026,,0.5925926,0.53333235,0.7317763,0.24438858,7,1,11,0,Morning,Monday,Weekday
200119,"Dorothy Road, Clapham Junction",300013,"Austin Road, Battersea Park",CLASSIC,2023-08-08 18:00:00,2.1972245773362196,15.986593,,0.49831653,0.5430777,0.50709254,0.81447756,8,2,18,0,Evening,Tuesday,Weekday
300033,"Putney Rail Station, Putney",200237,"Parson's Green , Parson's Green",CLASSIC,2023-08-08 08:00:00,2.302585092994046,13.202726,,0.28956228,0.31093964,0.55128545,0.7193657,8,2,8,0,Morning,Tuesday,Weekday
1217,"Serpentine Car Park, Hyde Park",1217,"Serpentine Car Park, Hyde Park",CLASSIC,2023-08-27 19:00:00,3.4965075614664802,10.315115,,0.47474754,0.45135745,0.79555243,0.29935122,27,7,19,1,Evening,Sunday,Weekend
200166,"Southerton Road, Hammersmith",300231,"Lambeth Palace Road, Waterloo",PBSC_EBIKE,2023-08-29 07:00:00,3.367295829986474,6.9247384,,0.20875418,0.2852557,0.54228467,0.7823247,29,2,7,0,Morning,Tuesday,Weekday
200162,"Watney Market, Stepney",3467,"Dock Street, Wapping",CLASSIC,2023-08-03 13:00:00,1.791759469228055,14.182355,,0.6700337,0.59692276,0.95859855,0.17472726,3,4,13,0,Afternoon,Thursday,Weekday
1229,"High Holborn , Covent Garden",3465,"Eccleston Place, Victoria",CLASSIC,2023-08-14 17:00:00,3.091042453358316,26.959166,,0.6531986,0.5939095,0.41824192,0.6471685,14,1,17,0,Evening,Monday,Weekday
1157,"Black Lion Gate, Kensington Gardens",3506,"Stanhope Gate, Mayfair",CLASSIC,2023-08-12 10:00:00,3.091042453358316,29.01966,,0.72053874,0.56633043,0.46648538,0.3146751,12,6,10,1,Morning,Saturday,Weekend
1110,"Palace Gate, Kensington Gardens",1110,"Palace Gate, Kensington Gardens",CLASSIC,2023-08-12 08:00:00,3.367295829986474,24.703974,,0.5757576,0.49302623,0.4586349,0.52223575,12,6,8,1,Morning,Saturday,Weekend
200034,"Wapping Lane, Wapping",300048,"Stainsby Road , Poplar",CLASSIC,2023-08-09 18:00:00,3.044522437723423,8.217153,,0.86531985,0.89154327,0.7936112,0.2855953,9,3,18,0,Evening,Wednesday,Weekday
1147,"Clifton Road, Maida Vale",1177,"Seville Street, Knightsbridge",PBSC_EBIKE,2023-08-30 08:00:00,2.4849066497880004,16.981165,,0.3232323,0.28176025,0.75954753,0.5315391,30,3,8,0,Morning,Wednesday,Weekday
300058,"The Vale, Chelsea",1203,"Eastbourne Mews, Paddington",CLASSIC,2023-08-14 23:00:00,3.044522437723423,9.504272,,0.34343433,0.44061193,0.50059396,0.9277972,14,1,23,0,Night,Monday,Weekday
1101,"Knightsbridge, Hyde Park",3457,"Rochester Row, Westminster",CLASSIC,2023-08-30 22:00:00,2.639057329615259,6.151683,,0.19191915,0.25125554,0.7570273,0.64844525,30,3,22,0,Night,Wednesday,Weekday
200211,"Union Grove, Wandsworth Road",200169,"Ashley Crescent, Battersea",CLASSIC,2023-08-09 12:00:00,2.1972245773362196,7.628263,,0.7138047,0.808236,0.5804307,0.27944994,9,3,12,0,Afternoon,Wednesday,Weekday
1090,"Warren Street Station, Euston",1085,"Old Quebec Street, Marylebone",CLASSIC,2023-08-21 18:00:00,2.995732273553991,14.512064,,0.72727275,0.71236575,0.47093993,0.38399613,21,1,18,0,Evening,Monday,Weekday
200050,"Naval Row, Blackwall",1071,"Tower Gardens , Tower",CLASSIC,2023-08-20 10:00:00,3.332204510175204,16.676977,,0.7474747,0.7165787,0.5211721,0.3814329,20,7,10,1,Morning,Sunday,Weekend
1121,"Lexham Gardens, Kensington",1016,"Hereford Road, Bayswater",CLASSIC,2023-08-09 12:00:00,2.833213344056216,7.628263,,0.7138047,0.808236,0.5804307,0.27944994,9,3,12,0,Afternoon,Wednesday,Weekday
1022,"Brunswick Square, Bloomsbury",3425,"Northington Street , Holborn",CLASSIC,2023-08-09 11:00:00,1.3862943611198906,6.725354,,0.66666675,0.7400793,0.7347259,0.26276755,9,3,11,0,Morning,Wednesday,Weekday
200175,"Wandsworth Rd, Isley Court, Wandsworth Road",2587,"Wormwood Street, Liverpool Street",CLASSIC,2023-08-21 18:00:00,3.367295829986474,14.512064,,0.72727275,0.71236575,0.47093993,0.38399613,21,1,18,0,Evening,Monday,Weekday
300206,"Saltoun Road, Brixton",1086,"Baker Street, Marylebone",CLASSIC,2023-08-03 08:00:00,3.295836866004329,18.919704,,0.41750836,0.371236,0.9708678,0.54895055,3,4,8,0,Morning,Thursday,Weekday
200155,"Gascoyne Road, Victoria Park",1048,"Queen Victoria Street, St. Paul's",CLASSIC,2023-08-28 19:00:00,3.6888794541139363,9.178235,,0.47138035,0.4681466,0.851268,0.35034418,28,1,19,0,Evening,Monday,Weekday
2587,"Wormwood Street, Liverpool Street",3457,"Rochester Row, Westminster",CLASSIC,2023-08-22 08:00:00,3.1354942159291497,16.055353,,0.5925926,0.6063695,0.5788184,0.6179819,22,2,8,0,Morning,Tuesday,Weekday
1072,"Waterloo Station 3, Waterloo",200101,"Monument Street, Monument",CLASSIC,2023-08-09 08:00:00,2.4849066497880004,4.3349743,,0.3602693,0.449761,0.6448118,0.65472436,9,3,8,0,Morning,Wednesday,Weekday
200037,"Rectory Square, Stepney",973,"Bethnal Green Road, Shoreditch",CLASSIC,2023-08-12 13:00:00,2.772588722239781,30.827856,,0.6969696,0.5423051,0.4559986,0.37853432,12,6,13,1,Afternoon,Saturday,Weekend
1177,"Seville Street, Knightsbridge",1124,"Sumner Place, South Kensington",CLASSIC,2023-08-01 15:00:00,2.302585092994046,20.774214,,0.79461277,0.649598,0.6261578,0.08214712,1,2,15,0,Afternoon,Tuesday,Weekday
1061,"Stonecutter Street, Holborn",1095,"LSBU (Borough Road), Elephant & Castle",CLASSIC,2023-08-02 17:00:00,2.1972245773362196,15.542662,,0.49494946,0.5211779,0.72527856,0.7160356,2,3,17,0,Evening,Wednesday,Weekday
3464,"Green Street, Mayfair",300015,"Binfield Road, Stockwell",CLASSIC,2023-08-15 08:00:00,3.4339872044851463,17.28,,0.47474754,0.4567856,0.66592354,0.59095025,15,2,8,0,Morning,Tuesday,Weekday
200246,"Eagle Wharf Road, Hoxton",1226,"Macclesfield Rd, St Lukes",CLASSIC,2023-08-28 22:00:00,1.9459101490553132,7.2,,0.20875418,0.2736862,0.82932943,0.72676086,28,1,22,0,Night,Monday,Weekday
200120,"Grant Road East, Clapham Junction",200120,"Grant Road East, Clapham Junction",CLASSIC,2023-08-09 13:00:00,3.4965075614664802,9.028754,,0.8080808,0.8694807,0.6456525,0.18105596,9,3,13,0,Afternoon,Wednesday,Weekday
300226,"Copper Box Arena, Queen Elizabeth Olympic Park",300029,"Lee Valley VeloPark, Queen Elizabeth Olympic Park",CLASSIC,2023-08-09 17:00:00,3.912023005428146,7.289445,,0.9292929,0.9199258,0.811758,0.12616259,9,3,17,0,Evening,Wednesday,Weekday
2685,"South Kensington Station, South Kensington",1210,"Nevern Place, Earl's Court",CLASSIC,2023-08-06 03:00:00,2.0794415416798357,18.723461,,0.050505042,0.0077358186,0.834212,0.71182954,6,7,3,1,Night,Sunday,Weekend
1025,"Bolsover Street, Fitzrovia",967,"Golden Lane, Barbican",CLASSIC,2023-08-09 16:00:00,3.044522437723423,8.287822,,0.9427608,0.91920674,0.8182958,0.10406172,9,3,16,0,Afternoon,Wednesday,Weekday
200052,"Exhibition Road Museums 2, South Kensington",1203,"Eastbourne Mews, Paddington",CLASSIC,2023-08-01 21:00:00,2.8903717578961645,17.873556,,0.47138035,0.46975824,0.3893575,0.6915194,1,2,21,0,Night,Tuesday,Weekday
200224,"Colet Gardens, Hammersmith",300082,"Bridge Avenue, Hammersmith",CLASSIC,2023-08-04 15:00:00,1.9459101490553132,15.03835,,0.6094276,0.56980085,0.7148563,0.35488117,4,5,15,0,Afternoon,Friday,Weekday
200090,"Pennington Street, Wapping",300041,"Finnis Street, Bethnal Green",CLASSIC,2023-08-08 23:00:00,2.639057329615259,5.315336,,0.38383842,0.51967394,0.79135066,0.91731477,8,2,23,0,Night,Tuesday,Weekday
200119,"Dorothy Road, Clapham Junction",300208,"Lavington Street, Bankside",PBSC_EBIKE,2023-08-02 09:00:00,3.332204510175204,27.792374,,0.5690236,0.4599125,0.50383335,0.5219158,2,3,9,0,Morning,Wednesday,Weekday
200212,"Blackfriars Station, St. Paul's",1070,"Bricklayers Arms, Borough",CLASSIC,2023-08-22 18:00:00,2.302585092994046,12.864649,,0.83501685,0.8093842,0.7453796,0.2534989,22,2,18,0,Evening,Tuesday,Weekday
200201,"Battersea Church Road, Battersea",200120,"Grant Road East, Clapham Junction",CLASSIC,2023-08-31 19:00:00,2.302585092994046,7.9932966,,0.37710428,0.45524547,0.027003706,0.74161804,31,4,19,0,Evening,Thursday,Weekday
3507,"Store Street, Bloomsbury",984,"Finsbury Circus, Liverpool Street",PBSC_EBIKE,2023-08-02 18:00:00,2.70805020110221,13.324863,,0.4915825,0.54947364,0.83619064,0.7792585,2,3,18,0,Evening,Wednesday,Weekday
1088,"Triangle Car Park, Hyde Park",1088,"Triangle Car Park, Hyde Park",CLASSIC,2023-08-19 17:00:00,3.9512437185814275,25.305208,,0.7710438,0.6693249,0.44346422,0.3717122,19,6,17,1,Evening,Saturday,Weekend
1007,"Drury Lane, Covent Garden",200049,"St. Katharine's Way, Tower",CLASSIC,2023-08-20 13:00:00,4.204692619390966,13.104198,,0.8787879,0.87670255,0.50112253,0.20779395,20,7,13,1,Afternoon,Sunday,Weekend
300021,"Podium, Queen Elizabeth Olympic Park",300081,"Haggerston Road, Haggerston",CLASSIC,2023-08-11 19:00:00,3.4339872044851463,16.299694,,0.6296296,0.65637004,0.40235388,0.65534925,11,5,19,0,Evening,Friday,Weekday
3423,"Maida Vale, Maida Vale",1050,"Park Road (Baker Street), The Regent's Park",CLASSIC,2023-08-26 08:00:00,2.4849066497880004,13.584932,,0.3602693,0.36628917,0.5240775,0.617743,26,6,8,1,Morning,Saturday,Weekend
2696,"Waterloo Station 1, Waterloo",200133,"South Lambeth Road, Vauxhall",CLASSIC,2023-08-28 07:00:00,2.8903717578961645,8.707237,,0.20202017,0.26062927,0.797751,0.76681495,28,1,7,0,Morning,Monday,Weekday
200036,"Bell Lane, Liverpool Street",3456,"Portugal Street, Holborn",CLASSIC,2023-08-03 13:00:00,2.833213344056216,14.182355,,0.6700337,0.59692276,0.95859855,0.17472726,3,4,13,0,Afternoon,Thursday,Weekday
3432,"Farringdon Lane, Clerkenwell",1023,"River Street , Clerkenwell",CLASSIC,2023-08-21 23:00:00,1.9459101490553132,11.753876,,0.3602693,0.43101832,0.48851174,0.87412035,21,1,23,0,Night,Monday,Weekday
3459,"Collingham Gardens, Earl's Court",1094,"Wright's Lane, Kensington",CLASSIC,2023-08-06 14:00:00,1.9459101490553132,16.299694,,0.5151515,0.466238,0.8012294,0.37930238,6,7,14,1,Afternoon,Sunday,Weekend
997,"Worship Street, Shoreditch",200149,"Watney Street, Shadwell",CLASSIC,2023-08-20 00:00:00,2.639057329615259,10.703569,,0.34680128,0.42940095,0.4544027,0.90067995,20,7,0,1,Night,Sunday,Weekend
3495,"Wells Street, Fitzrovia",3495,"Wells Street, Fitzrovia",CLASSIC,2023-08-03 18:00:00,3.367295829986474,10.182337,,0.6094276,0.59404016,0.86536175,0.29016352,3,4,18,0,Evening,Thursday,Weekday
1222,"Goswell Road (City Uni), Finsbury",300203,"Euston Square Gardens, Euston",CLASSIC,2023-08-06 08:00:00,2.5649493574615367,24.195107,,0.30976427,0.20373747,0.85734516,0.5093591,6,7,8,1,Morning,Sunday,Weekend
300015,"Binfield Road, Stockwell",300036,"Teversham Lane, Stockwell",CLASSIC,2023-08-13 21:00:00,1.0986122886681096,16.263872,,0.44781148,0.44064078,0.38981038,0.6167059,13,7,21,1,Night,Sunday,Weekend
300070,"Imperial Wharf Station, Sands End",300075,"Upcerne Road, West Chelsea",CLASSIC,2023-08-24 21:00:00,1.0986122886681096,11.165805,,0.6228956,0.7115737,0.57386166,0.7389505,24,4,21,0,Night,Thursday,Weekday
3498,"Geraldine Street, Elephant & Castle",10624,"Strata, Elephant & Castle",CLASSIC,2023-08-10 10:00:00,1.3862943611198906,14.241629,,0.8787879,0.91726255,0.33859932,0.39996982,10,4,10,0,Morning,Thursday,Weekday
200211,"Union Grove, Wandsworth Road",1200,"Ontario Street, Elephant & Castle",PBSC_EBIKE,2023-08-11 19:00:00,2.9444389791664403,16.299694,,0.6296296,0.65637004,0.40235388,0.65534925,11,5,19,0,Evening,Friday,Weekday
200220,"Blythe Road West, Shepherd's Bush",3492,"Putney Pier, Wandsworth",CLASSIC,2023-08-10 06:00:00,3.1780538303479458,6.489992,,0.33333325,0.42991963,0.11773527,0.8006686,10,4,6,0,Morning,Thursday,Weekday
1223,"Buxton Street 1, Shoreditch",1161,"Brushfield Street, Liverpool Street",CLASSIC,2023-08-10 05:00:00,1.6094379124341003,6.763786,,0.17171717,0.27498993,0.15535808,0.95989823,10,4,5,0,Morning,Thursday,Weekday
200145,"Gloucester Avenue, Camden Town",1085,"Old Quebec Street, Marylebone",CLASSIC,2023-08-03 23:00:00,2.833213344056216,10.703569,,0.2996633,0.35179368,0.8532782,0.7693783,3,4,23,0,Night,Thursday,Weekday
200141,"Westfield Ariel Way, White City",200067,"Princedale Road , Holland Park",CLASSIC,2023-08-30 23:00:00,3.4965075614664802,5.506941,,0.13468009,0.20849207,0.71604854,0.72951066,30,3,23,0,Night,Wednesday,Weekday
991,"Crosswall, Tower",1082,"Borough Road, Elephant & Castle",CLASSIC,2023-08-14 17:00:00,2.4849066497880004,26.959166,,0.6531986,0.5939095,0.41824192,0.6471685,14,1,17,0,Evening,Monday,Weekday
982,"Holborn Circus, Holborn",982,"Holborn Circus, Holborn",PBSC_EBIKE,2023-08-21 15:00:00,4.204692619390966,18.971008,,0.8855219,0.7925688,0.51794726,0.18012267,21,1,15,0,Afternoon,Monday,Weekday
1098,"Lower Thames Street, Monument",1143,"Kensington Church Street, Kensington",CLASSIC,2023-08-14 19:00:00,3.5553480614894135,16.87398,,0.54882157,0.57373166,0.4163609,0.7224562,14,1,19,0,Evening,Monday,Weekday
1068,"Norton Folgate, Liverpool Street",1180,"Bourne Street, Belgravia",CLASSIC,2023-08-07 18:00:00,3.258096538021482,13.493999,,0.59595954,0.55540824,0.70674604,0.30341136,7,1,18,0,Evening,Monday,Weekday
22175,"Canton Street, Poplar",200066,"Import Dock, Canary Wharf",CLASSIC,2023-08-24 14:00:00,2.0794415416798357,12.015589,,1.0,0.9860469,0.62773985,0.20329833,24,4,14,0,Afternoon,Thursday,Weekday
1058,"Edgware Road Station, Marylebone",200125,"Putney Bridge Station, Fulham",CLASSIC,2023-08-26 09:00:00,3.5263605246161616,16.489416,,0.45791245,0.42257074,0.50584406,0.4873011,26,6,9,1,Morning,Saturday,Weekend
300004,"Harris Academy, Bermondsey",1017,"Great Dover Street, The Borough",CLASSIC,2023-08-06 16:00:00,1.9459101490553132,19.513195,,0.56565654,0.45571217,0.8321404,0.22917813,6,7,16,1,Afternoon,Sunday,Weekend
1231,"Queen's Gate, Kensington Gardens",1231,"Queen's Gate, Kensington Gardens",CLASSIC,2023-08-30 17:00:00,3.9512437185814275,19.486609,,0.57912457,0.43977937,0.77736384,0.101291716,30,3,17,0,Evening,Wednesday,Weekday
200023,"Heath Road, Battersea",3476,"Hinde Street, Marylebone",CLASSIC,2023-08-15 08:00:00,3.367295829986474,17.28,,0.47474754,0.4567856,0.66592354,0.59095025,15,2,8,0,Morning,Tuesday,Weekday
3428,"Pancras Road, King's Cross",3497,"Rathbone Street, Fitzrovia",CLASSIC,2023-08-15 08:00:00,2.4849066497880004,17.28,,0.47474754,0.4567856,0.66592354,0.59095025,15,2,8,0,Morning,Tuesday,Weekday
200036,"Bell Lane, Liverpool Street",200121,"Shoreditch Court, Haggerston",CLASSIC,2023-08-21 18:00:00,2.9444389791664403,14.512064,,0.72727275,0.71236575,0.47093993,0.38399613,21,1,18,0,Evening,Monday,Weekday
1131,"Graham Street, Angel",1056,"Finsbury Square , Moorgate",CLASSIC,2023-08-12 11:00:00,2.3978952727983707,30.85307,,0.73400676,0.56347024,0.48116022,0.30496573,12,6,11,1,Morning,Saturday,Weekend
1035,"Boston Place, Marylebone",1177,"Seville Street, Knightsbridge",CLASSIC,2023-08-07 08:00:00,2.3978952727983707,12.261158,,0.3400674,0.36290744,0.6510039,0.6586709,7,1,8,0,Morning,Monday,Weekday
1037,"Park Lane , Hyde Park",1075,"Hyde Park Corner, Hyde Park",CLASSIC,2023-08-30 16:00:00,4.394449154672439,20.991426,,0.6397306,0.47478077,0.7641639,0.04017538,30,3,16,0,Afternoon,Wednesday,Weekday
22179,"Exhibition Road, Knightsbridge",3463,"Argyll Road, Kensington",CLASSIC,2023-08-14 11:00:00,2.772588722239781,25.842384,,0.7306397,0.65240216,0.3498699,0.4927603,14,1,11,0,Morning,Monday,Weekday
1110,"Palace Gate, Kensington Gardens",1110,"Palace Gate, Kensington Gardens",CLASSIC,2023-08-03 19:00:00,3.258096538021482,11.019764,,0.41414142,0.45467898,0.89475614,0.65670073,3,4,19,0,Evening,Thursday,Weekday
1062,"Braham Street, Aldgate",1201,"Bank of England Museum, Bank",CLASSIC,2023-08-01 06:00:00,1.6094379124341003,23.084955,,0.33333325,0.2724463,0.6500738,0.6916741,1,2,6,0,Morning,Tuesday,Weekday
3463,"Argyll Road, Kensington",3465,"Eccleston Place, Victoria",PBSC_EBIKE,2023-08-20 17:00:00,3.044522437723423,15.807239,,0.80471385,0.76066184,0.5326615,0.28519475,20,7,17,1,Evening,Sunday,Weekend
3502,"Palissy Street, Shoreditch",22166,"Albert Gardens, Stepney",CLASSIC,2023-08-20 04:00:00,4.02535169073515,10.883676,,0.3535353,0.45043412,0.41869062,0.97770476,20,7,4,1,Night,Sunday,Weekend
1082,"Borough Road, Elephant & Castle",22162,"Southwark Station 1, Southwark",CLASSIC,2023-08-04 17:00:00,1.791759469228055,14.386494,,0.57239056,0.5413811,0.80642253,0.382617,4,5,17,0,Evening,Friday,Weekday
3427,"Fanshaw Street, Hoxton",200003,"Cheshire Street, Bethnal Green",PBSC_EBIKE,2023-08-13 20:00:00,2.0794415416798357,16.746773,,0.4680134,0.44703463,0.37990016,0.55992556,13,7,20,1,Evening,Sunday,Weekend
200125,"Putney Bridge Station, Fulham",200217,"Disraeli Road, Putney",CLASSIC,2023-08-29 17:00:00,1.791759469228055,17.388409,,0.59595954,0.50423515,0.5458378,0.22454911,29,2,17,0,Evening,Tuesday,Weekday
964,"Bath Street, St. Luke's",979,"Wenlock Road , Hoxton",CLASSIC,2023-08-12 12:00:00,1.3862943611198906,29.810522,,0.65656555,0.5258523,0.45564044,0.433419,12,6,12,1,Afternoon,Saturday,Weekend
300239,"Victory Place, Walworth",300239,"Victory Place, Walworth",PBSC_EBIKE,2023-08-28 16:00:00,3.4011973816621555,13.089354,,0.70370364,0.62385833,0.8055487,0.10729635,28,1,16,0,Afternoon,Monday,Weekday
22160,"Chelsea Bridge, Pimlico",970,"Scala Street, Fitzrovia",CLASSIC,2023-08-21 09:00:00,3.091042453358316,13.18308,,0.57239056,0.6067269,0.51084036,0.61718154,21,1,9,0,Morning,Monday,Weekday
3447,"Gloucester Road (North), Kensington",200154,"Hansard Mews, Holland Park",CLASSIC,2023-08-03 18:00:00,3.4657359027997265,10.182337,,0.6094276,0.59404016,0.86536175,0.29016352,3,4,18,0,Evening,Thursday,Weekday
1116,"Emperor's Gate, South Kensington",22179,"Exhibition Road, Knightsbridge",CLASSIC,2023-08-24 18:00:00,2.0794415416798357,10.739832,,0.8451178,0.88542175,0.4423744,0.40929604,24,4,18,0,Evening,Thursday,Weekday
200183,"Battersea Park Road, Nine Elms",1000,"Vauxhall Cross, Vauxhall",CLASSIC,2023-08-10 21:00:00,2.995732273553991,11.304229,,0.58922553,0.6470512,0.30765486,0.6402738,10,4,21,0,Night,Thursday,Weekday
2587,"Wormwood Street, Liverpool Street",22170,"Kennington Station, Kennington",CLASSIC,2023-08-07 15:00:00,2.70805020110221,17.462784,,0.68686867,0.5682255,0.6291514,0.10024506,7,1,15,0,Afternoon,Monday,Weekday
1110,"Palace Gate, Kensington Gardens",1075,"Hyde Park Corner, Hyde Park",CLASSIC,2023-08-13 19:00:00,3.4339872044851463,17.595861,,0.5387205,0.4994093,0.4033866,0.47499788,13,7,19,1,Evening,Sunday,Weekend
1060,"Torrens Street, Angel",1049,"Finsbury Leisure Centre, St. Luke's",CLASSIC,2023-08-04 20:00:00,1.791759469228055,9.3669195,,0.4612794,0.47893158,0.6756851,0.4587835,4,5,20,0,Evening,Friday,Weekday
2637,"Bermondsey Street, Bermondsey",1133,"Baylis Road, Waterloo",CLASSIC,2023-08-23 22:00:00,2.302585092994046,7.5942073,,0.6127945,0.72089815,0.2429372,0.7055212,23,3,22,0,Night,Wednesday,Weekday
978,"Russell Square Station, Bloomsbury",1020,"Leonard Circus , Shoreditch",CLASSIC,2023-08-10 12:00:00,2.639057329615259,16.62249,,0.9393939,0.9171667,0.34527296,0.31755137,10,4,12,0,Afternoon,Thursday,Weekday
1089,"Queen's Gate (Central), South Kensington",200182,"Rainville Road, Hammersmith",CLASSIC,2023-08-04 20:00:00,2.639057329615259,9.3669195,,0.4612794,0.47893158,0.6756851,0.4587835,4,5,20,0,Evening,Friday,Weekday
2637,"Bermondsey Street, Bermondsey",2587,"Wormwood Street, Liverpool Street",CLASSIC,2023-08-10 19:00:00,2.3978952727983707,9.746631,,0.7542087,0.80498326,0.28582323,0.46601617,10,4,19,0,Evening,Thursday,Weekday
995,"Little Argyll Street, West End",1202,"Wellington Street , Strand",CLASSIC,2023-08-08 18:00:00,2.5649493574615367,15.986593,,0.49831653,0.5430777,0.50709254,0.81447756,8,2,18,0,Evening,Tuesday,Weekday
200116,"Vereker Road, West Kensington",1075,"Hyde Park Corner, Hyde Park",CLASSIC,2023-08-11 19:00:00,3.1354942159291497,16.299694,,0.6296296,0.65637004,0.40235388,0.65534925,11,5,19,0,Evening,Friday,Weekday
200215,"Greyhound Road, Hammersmith",200079,"Ram Street, Wandsworth",CLASSIC,2023-08-20 13:00:00,2.833213344056216,13.104198,,0.8787879,0.87670255,0.50112253,0.20779395,20,7,13,1,Afternoon,Sunday,Weekend
200006,"Hewison Street, Old Ford",1145,"Earnshaw Street , Covent Garden",CLASSIC,2023-08-30 19:00:00,3.6109179126442243,7.289445,,0.41414142,0.4155672,0.811758,0.31361163,30,3,19,0,Evening,Wednesday,Weekday
300021,"Podium, Queen Elizabeth Olympic Park",200014,"Gunmakers Lane, Old Ford",CLASSIC,2023-08-31 18:00:00,3.295836866004329,11.592894,,0.4006734,0.43580762,0.10679644,0.6608746,31,4,18,0,Evening,Thursday,Weekday
1156,"Bedford Way, Bloomsbury",22174,"Granby Street, Shoreditch",PBSC_EBIKE,2023-08-25 17:00:00,3.044522437723423,18.514643,,0.5925926,0.4788483,0.54818887,0.17252743,25,5,17,0,Evening,Friday,Weekday
200034,"Wapping Lane, Wapping",22180,"Cheapside, Bank",CLASSIC,2023-08-04 08:00:00,2.639057329615259,14.982228,,0.45117843,0.45120254,0.908716,0.59886515,4,5,8,0,Morning,Friday,Weekday
22163,"Southwark Station 2, Southwark",1207,"Tavistock Street, Covent Garden",CLASSIC,2023-08-12 13:00:00,2.5649493574615367,30.827856,,0.6969696,0.5423051,0.4559986,0.37853432,12,6,13,1,Afternoon,Saturday,Weekend
200099,"Upper Bank Street, Canary Wharf",22179,"Exhibition Road, Knightsbridge",CLASSIC,2023-08-29 15:00:00,3.828641396489095,15.941944,,0.6902356,0.57904875,0.5533181,0.08029485,29,2,15,0,Afternoon,Tuesday,Weekday
22171,"Red Lion Street, Holborn",1053,"Clerkenwell Green, Clerkenwell",CLASSIC,2023-08-02 11:00:00,1.9459101490553132,32.33794,,0.6127945,0.42990312,0.47248274,0.35139692,2,3,11,0,Morning,Wednesday,Weekday
1143,"Kensington Church Street, Kensington",1001,"West Cromwell Road, Earl's Court",CLASSIC,2023-08-02 17:00:00,1.791759469228055,15.542662,,0.49494946,0.5211779,0.72527856,0.7160356,2,3,17,0,Evening,Wednesday,Weekday
3423,"Maida Vale, Maida Vale",300236,"Bevington Road West, North Kensington",CLASSIC,2023-08-13 12:00:00,2.639057329615259,24.696102,,0.7474747,0.6323104,0.50325805,0.2511592,13,7,12,1,Afternoon,Sunday,Weekend
